iter	Logloss
0	0.6489320259
1	0.6137545537
2	0.5765844176
3	0.5508281608
4	0.5221623438
5	0.4969518923
6	0.4753780524
7	0.4554182828
8	0.4365317602
9	0.4226002031
10	0.4054182958
11	0.3894681664
12	0.3815004085
13	0.3730028551
14	0.3647136686
15	0.3573362011
16	0.3519320597
17	0.345278974
18	0.3396200094
19	0.3334828505
20	0.327239217
21	0.3213886243
22	0.3148580247
23	0.3117828243
24	0.3092399895
25	0.3039532541
26	0.3006406821
27	0.2968607314
28	0.2930252679
29	0.2894759584
30	0.286523362
31	0.2833034261
32	0.2810141677
33	0.2790967235
34	0.277514727
35	0.2765257701
36	0.2747925007
37	0.2719197258
38	0.2705049796
39	0.2691612107
40	0.2670806938
41	0.2659435276
42	0.2643053073
43	0.2623612519
44	0.2613708715
45	0.2600242157
46	0.2593141957
47	0.2584818799
48	0.2565476725
49	0.2552046255
50	0.2540546091
51	0.2521018768
52	0.250995073
53	0.249435319
54	0.2482493842
55	0.2473996253
56	0.2462216055
57	0.2449736407
58	0.2441683332
59	0.2427790183
60	0.2420772149
61	0.2411504985
62	0.2399991545
63	0.2396965317
64	0.2387249429
65	0.2382722769
66	0.2366847843
67	0.2364233938
68	0.235049895
69	0.2342165811
70	0.2336217747
71	0.2329342498
72	0.2324694552
73	0.2314548823
74	0.2308797955
75	0.229984637
76	0.2286515101
77	0.2282487367
78	0.2272517398
79	0.2263253885
80	0.225200696
81	0.2248191351
82	0.2243058771
83	0.223359808
84	0.2223826357
85	0.2214009183
86	0.2209980137
87	0.2204102415
88	0.2196370731
89	0.2189823744
90	0.2182143715
91	0.2178924868
92	0.2172465012
93	0.216615967
94	0.215853392
95	0.2147181474
96	0.2143550058
97	0.2134000829
98	0.2131569347
99	0.2129439505
100	0.2126260034
101	0.2117864326
102	0.210801755
103	0.2104134008
104	0.2100836052
105	0.2089995135
106	0.2085687036
107	0.2075907101
108	0.2067676767
109	0.2061029836
110	0.2054001299
111	0.2043865198
112	0.2036868201
113	0.2034787587
114	0.2029923719
115	0.2028841811
116	0.2028142993
117	0.2025708744
118	0.2024194881
119	0.2013367687
120	0.2005721715
121	0.200083406
122	0.1996337435
123	0.1990980064
124	0.1987004282
125	0.1982121172
126	0.1979326871
127	0.1971836214
128	0.1964905892
129	0.1961513757
130	0.1954294881
131	0.1951520863
132	0.1940437484
133	0.1938753819
134	0.1934829065
135	0.1930651364
136	0.1923298918
137	0.1921127985
138	0.1918323427
139	0.1914664038
140	0.1907817813
141	0.1899992351
142	0.1897639271
143	0.1885519917
144	0.1880836929
145	0.1876063273
146	0.1862670382
147	0.1859894392
148	0.18580815
149	0.1851970804
150	0.1843372735
151	0.1842083674
152	0.1838696761
153	0.1833686379
154	0.1828646023
155	0.1825726771
156	0.1823088963
157	0.1819270864
158	0.1811899277
159	0.1808187865
160	0.1804232836
161	0.1798640569
162	0.1789550729
163	0.1787701277
164	0.1784286211
165	0.1778294654
166	0.1771702084
167	0.1766820302
168	0.1754779122
169	0.1751502295
170	0.174652123
171	0.1740544194
172	0.1732111724
173	0.1726124888
174	0.172356024
175	0.1716551702
176	0.1711597116
177	0.1707357949
178	0.1703793847
179	0.1695619056
180	0.1690977273
181	0.1684444576
182	0.1677250746
183	0.1673230876
184	0.1664597536
185	0.1661175274
186	0.1653653418
187	0.1645291381
188	0.164066304
189	0.1632884257
190	0.1627234217
191	0.1619919682
192	0.1613535319
193	0.1611254279
194	0.1604840823
195	0.1601021608
196	0.1596865438
197	0.1592981874
198	0.1589025539
199	0.158684512
200	0.1582368014
201	0.1577835256
202	0.157389989
203	0.1566229756
204	0.1560319355
205	0.155544143
206	0.15448235
207	0.1539010348
208	0.1535889857
209	0.1527037072
210	0.1523670114
211	0.1519034952
212	0.1514821561
213	0.1511853376
214	0.1506032718
215	0.1499477745
216	0.1494582304
217	0.1486215194
218	0.1479138175
219	0.1475649859
220	0.1468361247
221	0.1463198175
222	0.1458954828
223	0.1453835805
224	0.145026065
225	0.1445847813
226	0.1442317511
227	0.1439278017
228	0.1437149283
229	0.1433847373
230	0.1431043825
231	0.1422247958
232	0.1418908762
233	0.1414375406
234	0.1410502965
235	0.1406846286
236	0.1400962894
237	0.1397476802
238	0.139138873
239	0.1388447195
240	0.138565799
241	0.1379415263
242	0.1376546552
243	0.1374896125
244	0.1371620096
245	0.1364519192
246	0.1362291041
247	0.1356295607
248	0.1354318895
249	0.1350696861
250	0.134413885
251	0.1340376516
252	0.1338005491
253	0.1333497108
254	0.1329967775
255	0.1326436996
256	0.1324673418
257	0.1320791774
258	0.1317542324
259	0.1308582181
260	0.1304572594
261	0.129999364
262	0.1296573783
263	0.1291730279
264	0.129032185
265	0.1287798484
266	0.128512655
267	0.1282203736
268	0.1279311566
269	0.1273935025
270	0.1268927746
271	0.1266026771
272	0.1260962092
273	0.125968816
274	0.1256196445
275	0.1253865231
276	0.1251439878
277	0.1247696582
278	0.1246086887
279	0.1241564667
280	0.1237601899
281	0.1234522079
282	0.1231894102
283	0.1230162565
284	0.1227751663
285	0.1226587192
286	0.1222624226
287	0.1220716161
288	0.12163021
289	0.1214142562
290	0.1211185436
291	0.1208581691
292	0.1201327379
293	0.1197803299
294	0.1195404689
295	0.1193746295
296	0.1192448139
297	0.1190040071
298	0.1187025243
299	0.1184292667
