iter	Passed	Remaining
0	3	1109
1	6	1009
2	9	970
3	12	961
4	16	961
5	19	952
6	22	955
7	25	948
8	29	945
9	32	937
10	35	928
11	38	921
12	41	913
13	44	912
14	47	905
15	50	895
16	53	890
17	56	887
18	59	881
19	62	881
20	66	877
21	69	873
22	72	871
23	75	870
24	78	867
25	81	861
26	84	856
27	87	851
28	90	845
29	93	844
30	96	839
31	99	834
32	102	829
33	105	824
34	108	821
35	111	816
36	114	812
37	117	807
38	120	803
39	122	799
40	125	795
41	128	791
42	131	788
43	134	784
44	137	780
45	140	778
46	144	775
47	146	771
48	149	767
49	152	763
50	155	760
51	158	757
52	161	753
53	164	749
54	167	745
55	170	741
56	173	739
57	176	736
58	179	732
59	182	728
60	185	725
61	188	723
62	191	719
63	194	716
64	197	712
65	199	708
66	203	706
67	206	704
68	209	700
69	212	697
70	215	693
71	218	690
72	221	688
73	224	685
74	227	681
75	229	677
76	232	674
77	236	671
78	239	668
79	241	665
80	244	661
81	248	659
82	251	656
83	254	653
84	257	650
85	259	646
86	262	643
87	265	640
88	268	637
89	271	634
90	274	630
91	277	628
92	280	624
93	284	622
94	287	619
95	290	616
96	293	613
97	296	610
98	299	607
99	302	604
100	305	600
101	308	598
102	311	594
103	313	591
104	317	589
105	320	586
106	323	583
107	326	580
108	329	577
109	332	575
110	335	571
111	338	568
112	341	565
113	344	562
114	347	559
115	350	556
116	353	552
117	356	549
118	359	546
119	362	543
120	365	540
121	368	537
122	371	534
123	373	530
124	376	527
125	379	524
126	382	521
127	385	518
128	388	515
129	391	512
130	394	509
131	397	506
132	401	503
133	403	500
134	406	496
135	409	493
136	412	491
137	415	488
138	418	484
139	421	481
140	424	478
141	427	475
142	430	472
143	433	469
144	436	466
145	438	462
146	441	459
147	444	456
148	447	453
149	450	450
150	453	447
151	456	444
152	460	442
153	464	439
154	466	436
155	469	433
156	472	430
157	476	427
158	478	424
159	481	421
160	484	418
161	487	415
162	491	412
163	494	409
164	496	406
165	499	403
166	502	400
167	505	397
168	508	394
169	511	391
170	514	388
171	517	385
172	520	382
173	524	379
174	527	376
175	530	373
176	533	370
177	536	367
178	539	364
179	542	361
180	545	358
181	548	355
182	551	352
183	554	349
184	557	346
185	560	343
186	563	340
187	566	337
188	569	334
189	572	331
190	575	328
191	578	325
192	581	322
193	584	319
194	587	316
195	590	313
196	593	310
197	596	307
198	599	304
199	602	301
200	605	298
201	608	295
202	611	292
203	614	289
204	617	285
205	620	283
206	623	280
207	626	277
208	629	274
209	632	270
210	635	268
211	638	265
212	641	262
213	644	259
214	647	255
215	650	253
216	653	249
217	656	246
218	659	243
219	662	240
220	665	237
221	668	234
222	671	231
223	674	228
224	677	225
225	679	222
226	683	219
227	686	216
228	689	213
229	692	210
230	695	207
231	698	204
232	701	201
233	704	198
234	707	195
235	710	192
236	713	189
237	717	186
238	720	183
239	723	180
240	725	177
241	728	174
242	731	171
243	734	168
244	737	165
245	740	162
246	743	159
247	746	156
248	749	153
249	752	150
250	755	147
251	758	144
252	761	141
253	764	138
254	767	135
255	770	132
256	772	129
257	775	126
258	778	123
259	781	120
260	784	117
261	787	114
262	790	111
263	793	108
264	796	105
265	799	102
266	802	99
267	805	96
268	807	93
269	811	90
270	813	87
271	816	84
272	819	81
273	822	78
274	825	75
275	828	72
276	831	69
277	834	66
278	837	63
279	840	60
280	843	57
281	846	54
282	849	51
283	852	48
284	855	45
285	858	42
286	861	39
287	864	36
288	867	33
289	870	30
290	873	27
291	876	24
292	879	21
293	882	18
294	885	15
295	888	12
296	891	9
297	894	6
298	897	3
299	900	0
