season,round,race_date,race_name,circuit_id,driver_id,driver_code,constructor_id,grid_position,position_text,finish_position,points,laps,status,dnf,won
2018,1,2018-03-25,Australian Grand Prix,albert_park,alonso,ALO,mclaren,10,5,5.0,10.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,bottas,BOT,mercedes,15,8,8.0,4.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,brendon_hartley,HAR,toro_rosso,16,15,15.0,0.0,57,+1 Lap,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,ericsson,ERI,sauber,17,R,,0.0,5,Steering,1,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,gasly,GAS,toro_rosso,20,R,,0.0,13,Engine,1,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,grosjean,GRO,haas,6,R,,0.0,24,Wheel,1,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,hamilton,HAM,mercedes,1,2,2.0,18.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,hulkenberg,HUL,renault,7,7,7.0,6.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,kevin_magnussen,MAG,haas,5,R,,0.0,22,Wheel,1,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,leclerc,LEC,sauber,18,13,13.0,0.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,max_verstappen,VER,red_bull,4,6,6.0,8.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,ocon,OCO,force_india,14,12,12.0,0.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,perez,PER,force_india,12,11,11.0,0.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,raikkonen,RAI,ferrari,2,3,3.0,15.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,ricciardo,RIC,red_bull,8,4,4.0,12.0,58,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,sainz,SAI,renault,9,10,10.0,1.0,58,Finished,0,0
