feature,mean_abs_shap,rank
qualifying_position,0.3070736208074336,1
constructor_avg_finish_last_3,0.20072195720680852,2
driver_win_rate_last_10,0.16219301712448808,3
gap_to_pole_sec,0.1499605174758246,4
driver_avg_finish_last_3,0.14503485921788645,5
constructor_career_points_before,0.09881549952182435,6
driver_avg_finish_last_10,0.08909410406403724,7
driver_career_points_before,0.08839158513716829,8
driver_season_points_before,0.06563685068662371,9
driver_season_avg_qualifying_before,0.05303437380951745,10
constructor_career_starts_before,0.04269147204892336,11
driver_career_wins_before,0.034179636192488025,12
driver_avg_q_gap_to_pole_last_5,0.023929174453674668,13
constructor_avg_finish_last_5,0.023307641121112065,14
driver_vs_teammate_q_gap_sec,0.023052954324763533,15
driver_avg_q_gap_to_pole_last_3,0.02042290677490772,16
driver_win_rate_last_3,0.018055707018730233,17
constructor_season_points_before,0.017233742323551494,18
driver_season_position_before,0.015935097271988764,19
driver_season_wins_before,0.015422335347875979,20
driver_circuit_avg_finish_before,0.011057467913460016,21
team_best_qualifying_pos,0.009427078744818298,22
driver_career_starts_before,0.007759856644801198,23
driver_win_rate_last_5,0.007721216188445623,24
driver_avg_qualifying_last_5,0.0066819264841416785,25
driver_avg_qualifying_last_3,0.0064511284249395935,26
constructor_season_wins_before,0.005595455322368575,27
driver_career_dnf_rate_before,0.004619489549756097,28
constructor_career_wins_before,0.0044428105148949055,29
driver_dnf_rate_last_3,0.0036608819611178615,30
driver_season_dnf_rate_before,0.003207016368725226,31
constructor_win_rate_last_5,0.0031752321591162883,32
driver_avg_finish_last_5,0.0027750570299538944,33
driver_circuit_wins_before,0.00228499718000198,34
driver_circuit_dnf_rate_before,0.0010870846208721689,35
driver_dnf_rate_last_5,0.0,36
driver_dnf_rate_last_10,0.0,37
driver_circuit_starts_before,0.0,38
constructor_win_rate_last_3,0.0,39
constructor_season_position_before,0.0,40
qualifying_session_numeric,0.0,41
