model,validation_season,train_seasons,train_races,log_loss,brier_score,roc_auc,winner_accuracy,n_races
logistic_regression,2021,2018–2020,59,0.353122,0.09264,0.870378,0.3636,22
random_forest,2021,2018–2020,59,0.1583,0.041791,0.910831,0.4545,22
gradient_boosting,2021,2018–2020,59,0.130928,0.035829,0.900065,0.6364,22
xgboost,2021,2018–2020,59,0.147869,0.040678,0.8893,0.4545,22
lightgbm,2021,2018–2020,59,0.150866,0.037191,0.890605,0.5,22
catboost,2021,2018–2020,59,0.161793,0.047399,0.883863,0.2273,22
logistic_regression,2022,2018–2021,81,0.260107,0.086262,0.950631,0.6364,22
random_forest,2022,2018–2021,81,0.141537,0.039865,0.948565,0.5,22
gradient_boosting,2022,2018–2021,81,0.106865,0.031347,0.953893,0.5,22
xgboost,2022,2018–2021,81,0.149498,0.048915,0.928665,0.4091,22
lightgbm,2022,2018–2021,81,0.155621,0.048997,0.914854,0.3636,22
catboost,2022,2018–2021,81,0.16816,0.053673,0.941931,0.4545,22
logistic_regression,2023,2018–2022,103,0.174778,0.053865,0.994454,0.8636,22
random_forest,2023,2018–2022,103,0.090943,0.018473,0.996411,0.8182,22
gradient_boosting,2023,2018–2022,103,0.062548,0.018425,0.994237,0.8182,22
xgboost,2023,2018–2022,103,0.071155,0.020438,0.990322,0.7727,22
lightgbm,2023,2018–2022,103,0.087917,0.025139,0.973684,0.7727,22
catboost,2023,2018–2022,103,0.086455,0.021628,0.990974,0.8636,22
logistic_regression,2024,2018–2023,125,0.245233,0.072914,0.92967,0.3333,24
random_forest,2024,2018–2023,125,0.142331,0.040481,0.936447,0.4167,24
gradient_boosting,2024,2018–2023,125,0.12984,0.035325,0.938919,0.5,24
xgboost,2024,2018–2023,125,0.136285,0.039682,0.939194,0.5417,24
lightgbm,2024,2018–2023,125,0.140858,0.037937,0.920971,0.4583,24
catboost,2024,2018–2023,125,0.176456,0.054593,0.920971,0.5,24
logistic_regression,2025,2018–2024,149,0.270624,0.092777,0.964103,0.5417,24
random_forest,2025,2018–2024,149,0.137849,0.041068,0.960714,0.4167,24
gradient_boosting,2025,2018–2024,149,0.105729,0.033656,0.963828,0.5833,24
xgboost,2025,2018–2024,149,0.133131,0.044111,0.955495,0.5,24
lightgbm,2025,2018–2024,149,0.170953,0.057392,0.952106,0.4167,24
catboost,2025,2018–2024,149,0.14382,0.045625,0.961081,0.625,24
