window,window_start_year,model,validation_season,train_seasons,train_races,log_loss,brier_score,roc_auc,winner_accuracy,n_races
3yr,2023,logistic_regression,2024,2023–2023,22,0.223718,0.06356,0.880037,0.375,24
3yr,2023,random_forest,2024,2023–2023,22,0.153392,0.043655,0.904396,0.3333,24
3yr,2023,gradient_boosting,2024,2023–2023,22,0.194849,0.038546,0.924084,0.5,24
3yr,2023,xgboost,2024,2023–2023,22,0.223441,0.049846,0.881914,0.4583,24
3yr,2023,lightgbm,2024,2023–2023,22,0.371851,0.056756,0.928022,0.4167,24
3yr,2023,catboost,2024,2023–2023,22,0.188997,0.050829,0.910989,0.375,24
3yr,2023,logistic_regression,2025,2023–2024,46,0.323885,0.1064,0.961538,0.5417,24
3yr,2023,random_forest,2025,2023–2024,46,0.135188,0.041394,0.967399,0.5,24
3yr,2023,gradient_boosting,2025,2023–2024,46,0.099885,0.031901,0.968864,0.5833,24
3yr,2023,xgboost,2025,2023–2024,46,0.12191,0.039535,0.957875,0.5417,24
3yr,2023,lightgbm,2025,2023–2024,46,0.140283,0.045432,0.946703,0.4583,24
3yr,2023,catboost,2025,2023–2024,46,0.114829,0.035552,0.954121,0.625,24
5yr,2021,logistic_regression,2022,2021–2021,22,0.27106,0.089264,0.946172,0.6818,22
5yr,2021,random_forest,2022,2021–2021,22,0.144359,0.040369,0.949761,0.6364,22
5yr,2021,gradient_boosting,2022,2021–2021,22,0.158425,0.043554,0.909635,0.5455,22
5yr,2021,xgboost,2022,2021–2021,22,0.176596,0.049627,0.908112,0.2727,22
5yr,2021,lightgbm,2022,2021–2021,22,0.245495,0.057115,0.8607,0.3182,22
5yr,2021,catboost,2022,2021–2021,22,0.165669,0.048516,0.905829,0.4091,22
5yr,2021,logistic_regression,2023,2021–2022,44,0.171614,0.053225,0.995433,0.8636,22
5yr,2021,random_forest,2023,2021–2022,44,0.083995,0.01694,0.997281,0.8636,22
5yr,2021,gradient_boosting,2023,2021–2022,44,0.04799,0.013489,0.995542,0.9091,22
5yr,2021,xgboost,2023,2021–2022,44,0.053114,0.014874,0.991627,0.8636,22
5yr,2021,lightgbm,2023,2021–2022,44,0.053573,0.015119,0.991301,0.9091,22
5yr,2021,catboost,2023,2021–2022,44,0.090961,0.023653,0.967921,0.6818,22
5yr,2021,logistic_regression,2024,2021–2023,66,0.288301,0.08784,0.913828,0.3333,24
5yr,2021,random_forest,2024,2021–2023,66,0.152292,0.044585,0.925,0.2917,24
5yr,2021,gradient_boosting,2024,2021–2023,66,0.148494,0.039125,0.921154,0.4583,24
5yr,2021,xgboost,2024,2021–2023,66,0.183922,0.049093,0.928663,0.4167,24
5yr,2021,lightgbm,2024,2021–2023,66,0.175386,0.044735,0.926282,0.5,24
5yr,2021,catboost,2024,2021–2023,66,0.157482,0.045761,0.934707,0.4583,24
5yr,2021,logistic_regression,2025,2021–2024,90,0.268764,0.090232,0.965293,0.5833,24
5yr,2021,random_forest,2025,2021–2024,90,0.136219,0.040194,0.966758,0.4583,24
5yr,2021,gradient_boosting,2025,2021–2024,90,0.09667,0.030092,0.971703,0.625,24
5yr,2021,xgboost,2025,2021–2024,90,0.113648,0.037188,0.96511,0.5833,24
5yr,2021,lightgbm,2025,2021–2024,90,0.127582,0.040557,0.96044,0.5,24
5yr,2021,catboost,2025,2021–2024,90,0.142309,0.04401,0.946886,0.5833,24
7yr,2019,logistic_regression,2021,2019–2020,38,0.380993,0.100649,0.871466,0.3636,22
7yr,2019,random_forest,2021,2019–2020,38,0.156349,0.041335,0.895063,0.4545,22
7yr,2019,gradient_boosting,2021,2019–2020,38,0.129787,0.034411,0.894628,0.5455,22
7yr,2019,xgboost,2021,2019–2020,38,0.153088,0.042927,0.883971,0.3182,22
7yr,2019,lightgbm,2021,2019–2020,38,0.201823,0.058836,0.886255,0.5909,22
7yr,2019,catboost,2021,2019–2020,38,0.162295,0.046848,0.883101,0.3636,22
7yr,2019,logistic_regression,2022,2019–2021,60,0.296441,0.098698,0.949543,0.6818,22
7yr,2019,random_forest,2022,2019–2021,60,0.140726,0.039813,0.951501,0.5455,22
7yr,2019,gradient_boosting,2022,2019–2021,60,0.107013,0.030866,0.950957,0.5,22
7yr,2019,xgboost,2022,2019–2021,60,0.124468,0.036835,0.937038,0.4091,22
7yr,2019,lightgbm,2022,2019–2021,60,0.137141,0.044009,0.943562,0.4545,22
7yr,2019,catboost,2022,2019–2021,60,0.144056,0.045071,0.950413,0.5,22
7yr,2019,logistic_regression,2023,2019–2022,82,0.18695,0.059915,0.994889,0.9091,22
